Alert,Description,Date
Tuskegee Airmen Hangar 1 and Hangar 2 Reopens,The Tuskegee Airmen National Historic Site has reopened Hangar 1 and Hangar 2 at a reduced capacity. Hours are Wednesday thru Saturday from 9 a.m. to 4:30 p.m cst. Site grounds are open 8 a.m. to sunset daily.,2022-05-28 10:26:23.0
Emergency Closures in Burned Areas,"Closures are in place for some facilities, infrastructure, and areas affected by the 2021 Dixie Fire. Please adhere to all closures indicated by CLOSED signs or described in emergency closure notices.",2022-05-27 23:38:39.0
Be Aware of Burned Area Hazards,"Numerous hazards exist in areas affected by the 2021 Dixie Fire. Be prepared for falling/fallen trees or limbs, loose/falling rock, undefined/unmarked trails, and hidden stump holes. Click more to learn about burned area safety.",2022-05-27 16:24:25.0
COVID Guidance,"Masks are required for everyone indoors, regardless of vaccination status, when CDC community levels are high. Masks are recommended, but optional indoors when levels are medium or low.",2022-05-27 11:33:12.0
COVID Guidance,"Masks are required for everyone indoors, regardless of vaccination status when CDC community levels are high. Masks are recommended, but optional indoors when levels are medium or low.",2022-05-27 11:29:33.0
Off Road Vehicle Inspections UPDATE: 5/27/22,"Beginning 5/27 ORV renewals & new permits will be issued at the Nathanial P. Reed Visitor Center Friday-Monday, 9am-1:30pm. No permits will be issued Tuesday-Thursday. Permits will be issued first-come first-served. Visit our ORV page for more information",2022-05-24 10:29:08.0
Multiple Lake Powell Launch Ramps Closed Due to Low Water,"Closed to all access: Wahweap Stateline, Wahweap Auxiliary, Bullfrog Main, and Bullfrog Spur. Inoperable to motorized vessel: Hite, Halls Crossing, Antelope Point Public, Wahweap Main.",2022-05-20 17:43:17.0
Equestrian Impacts from Fence Construction - Floyd Lamb Park to Iron Mountain & N. Torrey Pines,"The new fence will have a series of horse gates that will allow equestrians to access and exit the Monument. Equestrians who utilize the horse trails until February 2023 may encounter construction equipment, noise and dust.",2022-05-17 16:50:07.0
Jeremy's Run Trail from the boundary,The boundary access to Jeremy's Run Trail across private property at State Route 611 is temporarily closed by the landowner. The park trail remains open. Hikers must access Jeremy's Run from Skyline Drive. The park is working to resolve the situation.,2022-05-16 13:17:15.0
White-Nose Syndrome / Cave Permit,"Please Do Not bring clothing or caving gear used in caves or mines outside of Lava Beds into our caves. This will help slow the spread of white-nose syndrome, a bat disease that is killing bats outside of the park.",2022-05-13 19:28:27.0
SAFETY ADVISORY,Please DO NOT attempt to access or park a vehicle at the Charles Young house site. It is an active construction zone closed to visitors. There are no areas for visitors to park any vehicles and/or walk on the grounds. Proceed to the temp. visitor center.,2022-05-12 11:35:43.0
Trail Advisory,"Several trails in the park are temporarily closed. Please check the ""Trail Closures, Warnings and Cautions"" section of the Temporary Road and Facilities Closures page for further details.",2022-05-11 10:47:55.0
COVID-19 Community Levels: Medium/Low,"Based on current, CDC-reported COVID-19 Community Levels in Middlesex County, masks are optional inside buildings. People may choose to wear a mask. People with symptoms, a positive test, or exposure to someone with COVID-19 should wear a mask.",2022-05-10 13:37:45.0
Old Carriage Trail Bridge,"Approximately .3 miles from the northern trail entrance, the bridge is closed due to severe erosion of the bank underneath. No detour available.",2022-05-05 15:33:44.0
Expect Crowding,Parking lots and popular destinations are crowded especially on weekends and days with warm weather between 10 a.m. and 3 p.m.,2022-05-05 08:17:48.0
Bringing a Pet to Big Bend?,"Bringing your pet to Big Bend National Park will limit some of your park explorations and opportunities. Pets are not allowed on park trails, in the backcountry, or on the river. Pets are allowed only where vehicles can go. Pets may not be left unattended",2022-05-04 15:01:26.0
CCC Camp Picnic Pavilions Closed,The pavilions in the CCC Camp Picnic Area are closed for the immediate future for restoration work. The Picnic Area remains open to the public.,2022-04-28 15:13:05.0
Kalaupapa Trail Is Restricted,"Access to Kalaupapa Trail is restricted to Kalawao County residents and visitors with approved permits issued by Hawaii State Department of Health. Refer to Superintendentʻs Compendium, 36 CFR1.5(a)(1). Violations will result in arrest/fine.",2022-04-27 21:19:44.0
Reservations No Longer Needed for House Tours,"We are no longer taking reservations for house tours unless you have a group of 10 or more people. Daily tours will be offered on a first-come, first-served basis with a max of 10 people / tour.",2022-04-26 09:18:14.0
Temporary Closure of Tram Road (NPS 123),NPS Road 123 (Tram Road) is temporarily CLOSED due to roadway collapse from heavy rainfall. The roadbed and adjacent bank are unstable due to saturated soil. Road will reopen when repairs have been completed.,2022-04-20 16:10:15.0
Partially Reopened,Harriet Tubman National Historical Park is partially reopened. Our adjusted hours of operations are Tuesday through Sunday from 10am to 4pm (EST).,2022-04-19 15:08:47.0
Mask Guidance at Mammoth Cave National Park,"Currently the Mammoth Cave area is at a Community Level of Low. As such, masks are not required in the cave or visitor center.",2022-04-19 10:30:03.0
New Vessel Decontamination Procedures,"Voyageurs National Park management will now require all vessels crossing the Kettle Falls Portage from Rainy Lake to Namakan Lake to be decontaminated by trained staff beginning May 13, 2022. Visitors may experience delays when portaging at this area.",2022-04-15 13:33:48.0
Wildlife Viewing Guidelines,"San Juan Island National Historical Park provides habitat for many species of animals. When you visit the park, you are visiting their home. Do not approach any wildlife within 75 ft (two school bus lengths).",2022-04-13 14:23:51.0
No Entry Reservations Required,"No reservations are required to enter Bryce Canyon. Simply pay your park entrance fee or present your America the Beautiful pass upon arrival. Click ""More"" to purchase a Digital Pass, which delivers you entrance pass directly to your device.",2022-04-13 13:55:41.0
Closure of Old Fort: Monday through Wednesday,"The old fort will be closed on Mondays, Tuesdays, and Wednesdays. Park Grounds - Open: 7:00 a.m. to sunset daily",2022-04-12 17:17:02.0
Operating Hours & Seasons,The park is normally open year-round during daylight hours. Some park facilities are closed during the winter.,2022-04-01 16:25:57.0
Rattlesnakes are Present Throughout the Location,Rattlesnakes are present. Please stay on maintained surfaces. Avoid stepping in areas where you can’t see your foot placement. Not all rattlesnakes will forewarn with a rattle. Please do not harm snakes as they are an important part of the ecosystem.,2022-03-28 14:38:57.0
Park in Progress,"Amache NHS is working toward establishment and is not yet an official park. Visitor services are limited. For more information on how to visit, please visit our FAQ page.",2022-03-28 14:37:24.0
No Visitor Vehicle Access to the Park Site,Eugene O'Neill NHS is only accessible by free park shuttle or by hiking trails through Las Trampas Regional Wilderness. Details under permits and Reservations.,2022-03-26 18:44:06.0
Dangerous Highway Crossing,"Highway 177 is 60 mph with a blind spot directly across from the house. Safely use the highway underpass to the Fox Creek Trail just south of the visitor center parking lot. Be smart, stay alive.",2022-03-26 15:20:42.0
Cattle on the Road to Painted Hills,Use caution on Burnt Ranch Road between Highway 26 and the Painted Hills entrance. Cattle may be on or near the roadway for the duration of March and through April.,2022-03-24 11:37:55.0
No Dogs on Beach,Dogs and pets are not allowed on any of the beaches in Gulf Islands National Seashore. Visit the pet rules page for information.,2022-03-23 13:43:17.0
Freedom Trail Sites - COVID 19 Response,Some partner sites on the Freedom Trail may have COVID protocols in place. Visit our Know Before You Go page for details.,2022-03-22 09:04:48.0
COVID-19 Mask Requirements,"Manzanar National Historic Site is located in Inyo County, CA. Check the CDC's COVID-19 Community Level tool to learn of masking and safety requirements for your visit.",2022-03-21 18:30:03.0
COVID-19 Mask Requirement,"Consistent with CDC's COVID-19 Community Level tool, visitors to Sand Creek Massacre NHS are encouraged but not required to wear a mask inside all park buildings.",2022-03-13 13:24:27.0
COVID-19 Mask Requirement,Masks are optional inside park buildings. We continue to monitor and respond to the COVID-19 pandemic and follow CDC guidance.,2022-03-12 10:03:28.0
COVID-19 Mask Requirement,Mask requirements vary from park to park and are dependent upon local public health status.,2022-03-11 17:10:21.0
COVID-19 Protocols,"Consistent with CDC guidance, masks are now optional inside General Grant National Memorial. There is still a capacity limit of 10 visitors at a time allowed inside the mausoleum.",2022-03-11 15:23:43.0
Mask Status at Fort Larned,"Our mask status is based the CDC's COVID-19 Community Level tool and can change from week to week. If you'd like to know the mask status before your visit, you can call the Visitor Center at 620-285-6911 to find out.",2022-03-09 17:15:33.0
COVID-19 Mask Requirement,The NPS has updated its masking guidance based on the CDC’s COVID-19 Community Levels tool. Masking requirements will vary along the parkway based on local conditions. Masks are still required on all forms of enclosed public transportation.,2022-03-09 16:30:42.0
Visitor Contact Station Open,"In accordance with CDC recommendations, state, and county health guidance, we have resumed visitor services with modified operations. CDC guidance for COVID-19 includes social distancing. Mask wearing is now optional inside all NPS buildings.",2022-03-09 16:13:19.0
Face masks are now optional,"As Covid-related numbers have dipped below the CDC determined High Rate of Transmission in Adams County, Mississippi, face masks are no longer required in all NPS buildings at Natchez National Historical Park. Wearing of face masks is optional.",2022-03-09 15:31:41.0
"Wednesday, March 9, 2022: Changes to Masking Requirements Per CDC's Updated Guidance","The Tuskegee Airmen NHS is in a county with a Low COVID-19 Community Level, so masks are currently not required in either indoor or outdoor locations.",2022-03-09 10:23:33.0
Visitor Center Open 7 days a week from 8:30am-4pm,Park Visitor Center open 7 days a week from 830-4pm. All Trails are open. Kaloko road open from 8am-5pm. Call (808) 326-9057 for info or to contact the Hawai'i Pacific Parks Association Bookstore.,2022-03-08 19:46:16.0
"South Woolum Road Closed, Alternate Route Available","In the interest of safety, the South Woolum Road has been closed. The Woolum launch and campground remain open. The National Park Service, in coordination with Searcy County, will work to reopen the road as soon as possible.",2022-03-07 19:31:51.0
Masks are Optional in the White House Visitor Center,"Consistent with CDC guidance regarding areas of low transmission (Washington, DC is currently low), the wearing of masks in the White House Visitor Center is optional.",2022-03-07 14:38:58.0
COVID-19 Mask Requirement,"Mask requirements vary by park based on local COVID-19 levels. In high risk areas, masks are required in all NPS buildings. In areas of low and medium risk, masks are optional but visitors should follow signage and instructions from park staff.",2022-03-07 08:52:12.0
COVID-19 Mask Requirement - Currently Optional,"Consistent with CDC guidance masking is currently optional due to low transmission rates in the surrounding area. If this should move to a high level, masks will be required.",2022-03-05 11:40:46.0
COVID-19 Mask Requirement,"Based on updated CDC guidance regarding local COVID-19 transmission risk, masks are currently optional in Fort Donelson NB facilities. Park employees are monitoring transmission risk, and will update this guidance as appropriate.",2022-03-05 10:31:03.0
Masks Optional Indoors,"Based on current CDC COVID Community Levels, the wearing of masks in the park visitor center is optional.",2022-03-04 18:03:13.0
COVID-19 Mask Requirement,We are currently at a “Low” community level and not requiring indoor masks. The NPS has updated its masking guidance. Masking requirements will vary by park based on local conditions.,2022-03-04 13:40:29.0
Bait boxes in the park contain rat poison.,Dry Tortugas staff are carrying out a Rat Management Plan to prevent reintroduction of invasive rats. Rodenticide is harmful to pets if ingested. Keep all pets on leashes and contact park staff if you see rats or suspect your pet has ingested rodenticide.,2022-03-03 15:12:55.0
Rip Current Status,Review rip current status prior to visiting the park.,2022-02-28 16:28:38.0
Fee Stations Credit Card Only,Fee Stations are only accepting credit cards for the purchase of entry tickets and passes.,2022-02-28 09:58:39.0
General Grant National Memorial Virtual Tours,"Because the Visitor Center is closed until further notice; we are offering educational programming on our website and social media platforms, in addition to information on our outdoor exhibits.",2022-02-25 13:33:22.0
Phased reopening – some locations closed due to COVID-19 ,"Currently the Park Visitor Center is still closed, and the Mausoleum is operating under reduced hours.",2022-02-25 13:30:45.0
Portrait Photography Requires a Permit,"Any portrait photography session (school photos, family portraits, engagement photos, etc.) requires a permit. Visit our Permits and Reservations Page for call 203-834-1896 x13 for more info.",2022-02-22 12:32:37.0
Stamp Status,"Unfortunately, since we are not an official park yet, we do not currently have a park stamp.",2022-02-22 11:20:22.0
The county road through the Ft. Heiman Unit is closed to all vehicular traffic past the pavilion,"Due to storm damage and erosion, the county roads of the Fort Heiman loop are closed to vehicles until further notice.",2022-02-03 07:52:24.0
Martinez Adobe,"The Martinez Adobe, located on the western edge of John Muir’s historic orchard, is currently closed due to structural damage. It is unknown when the public will be able to enter the structure. The Muir/Strentzel mansion remains open to visitors.",2022-02-01 13:51:44.0
Fee Stations Credit Card Only,Fee Stations are only accepting credit cards for the purchase of passes. Visitors can also purchase digital passes in advance at www.recreation.gov/sitepass/74285,2022-01-24 10:57:18.0
High Crowds & Park Capacity,"High visitation may require limiting access to Bear Gulch and other parking areas in the park. If all parking lots reach capacity, incoming traffic will not pass the campground until space is available. This occurs most often between 8a and 3p on weekends",2022-01-19 14:37:31.0
"Federal Holiday Closure: Thanksgiving, Christmas, New Years Day","For the Thanksgiving, Christmas, and New Years Day Federal holidays, Capulin Volcano National Monument Visitor Center and Volcano Road will be closed November 24, December 25, and January 1. Volcano Road and all trails will be open for pedestrian traffic.",2022-01-07 15:17:05.0
Phones Are Not Operational,"We continue to experience intermittent outages with our phone lines. If your call does not go through, please try again later, or try to leave us a message and we will get back to you. Thank you for your understanding.",2022-01-04 19:40:04.0
Passaic River Trail Bridge washed out,"Tropical Storm Ida washed out the Passaic River bridge on the Patriot's Path Trail south of Tempe Wick Road. This area is a known habitat of the endangered wood turtle, so do not wade, walk, or let your dog run in the river at this location.",2021-12-18 11:26:00.0
Change to Visitor Center Operations,"Beginning Monday, December 27, 2021, the Guilford Courthouse National Military Park Visitor Center will be closed on Mondays and Tuesdays every week; park grounds will remain open. The Visitor Center will be open 9AM to 5PM, Wednesday through Sunday.",2021-12-18 09:27:57.0
All natural and cultural resources are protected,"The removal of any artifact, antler, obsidian, and other mineral or plant material is strictly prohibited.",2021-12-09 18:03:00.0
William Johnson House Remains Closed,The William Johnson House remains closed at this time.,2021-11-19 02:06:58.0
Wild Bison,Bison graze in both Windmill and West Traps pastures. Sightings may be at schoolhouse parking area. Bison will defend themselves if they feel threatened. Keep 100 yards distance. A raised tail is a warning sign: bison may charge or give chase.,2021-11-10 13:59:20.0
Stay Back from Ocean Bluffs,Remain off tops of bluffs and away from the bases of bluffs on the beach. Bluffs along the Outer Cape are unstable and could collapse at any time without warning.,2021-10-30 10:06:03.0
Canyon from Toe of Exit Glacier to the Outwash Plain,"The canyon from the toe of Exit Glacier to where Exit Creek opens into the Outwash Plain is susceptible to sudden outburst flood events. These events produce sudden surges of water, ice and rock. The canyon is dangerous and travel is not recommended.",2021-10-22 17:15:05.0
Visitor Center at National Colonial Farm is Closed Monday-Thursday,The visitor center for Piscataway Park at National Colonial Farm is closed Monday-Thursday. It is open Friday-Sunday 10:00-4:00.,2021-10-08 10:53:45.0
Fisherman's Trail Closed,"Fishermen's Trail is closed for trail and bridge maintenance. For more information about Ninety Six National Historic Site's available trails, please call the park at 864-543-4068.",2021-09-22 08:58:42.0
Middle Ford Ferry Loop Trail Closed Due to Damage from Hurricane Ida,The Middle Ford Ferry Loop at Thomas is closed due to damage caused by the remnants of Hurricane Ida. Please enjoy other areas of the park while we work stabilize the area.,2021-09-15 13:33:13.0
Ongoing Storm Damage Closures,Ongoing list of closures related to previous storm damage for public safety: Devils Island Dock & Campsite; West Bay Club on Sand Island; Hokenson Dock at Little Sand Bay.,2021-09-15 09:45:04.0
Rabbit Hemorrhagic Disease Confirmed in Arizona,"The Arizona Game and Fish Department and the Arizona Department of Agriculture have confirmed rabbit hemorrhagic disease virus (RHDV2) in Arizona cottontails and black-tailed jackrabbits. As always, please do not approach any wildlife during your visit.",2021-09-14 18:00:57.0
Parts of the Dragoon Barracks Closed,"The second floor of the Dragoon Barracks are closed for the foreseeable future as the park assesses and repairs damages from a major leak in the fire suppression system. To visit this building, follow the link below for a virtual visit.",2021-09-10 18:22:20.0
Potomac Heritage Trail detour near Glebe Road in Arlington County,"The trail just south of Glebe Road in Arlington County, VA, has been washed out. A temporary detour is in place and the trail remains open. The NPS is working with Arlington County to repair the damage.",2021-08-27 14:11:34.0
"Trail detour in Arlington, VA","The trail just south of Glebe Road in Arlington County, VA, has been washed out. A temporary detour is in place and the trail remains open. The NPS is working with Arlington County to repair the damage.",2021-08-27 14:09:42.0
Some facilities closed along the Potomac Heritage National Scenic Trail,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, some facilities along the Potomac Heritage NST are temporarily closed. See our partner websites for local info.",2021-08-27 11:21:06.0
Fort Pulaski Entrance Fees are Credit/Debit Only,The park is no longer accepting cash for entrance fees. Credit and debit cards are the only method of payment currently being accepted.,2021-08-18 13:12:33.0
Bike rentals are not available at this time,"Bike rentals on Cumberland Island are not available at this time. Although rental bikes will not be available, with a reservation and a modest fee the ferry can transport up to 15 personal bikes to the island.",2021-08-17 16:46:10.0
All 3 petroglyph viewing trails are open. No trails at VC. WNPA Park Store open 9am - 4pm.,"Drive to petroglyph viewing trails: Boca Negra Canyon (open 8:30 am - 4 pm); Rinconada and Piedras Marcadas Canyons (open 8 am to 5 pm). The Volcanoes Day Use Area (no petroglyphs, open 9 am to 5 pm). WNPA Park Store open for shopping 9am - 4pm daily.",2021-08-06 10:49:22.0
Fence Replacement,There is ongoing construction to the fence between the Colonial Revival Garden and the rear of the Hawkes House. Please use caution when in the area.,2021-08-05 16:06:17.0
Mask Mandate,"In areas of substantial or high community transmission, agencies must require all Federal employees, onsite contractors, and visitors, regardless of vaccination status, to wear a mask inside of Federal buildings.",2021-08-04 14:21:51.0
Tickets are required to enter Mammoth Cave,Reservations are strongly recommended. Reservations are the only way to ensure a spot is available for your party. Please plan accordingly by visiting Recreation.gov to secure your tickets in advance. Availability of walk-up tickets is not guaranteed.,2021-08-02 18:14:26.0
COVID-19 Mask Requirement,"Consistent with CDC guidance regarding areas of substantial or high transmission, visitors to Russell Cave National Monument, regardless of vaccination status, are required to wear a mask inside all park buildings.",2021-07-29 14:01:58.0
Be Aware of Break-ins along State Route 20,Prevent smashed windows and theft. Break-ins are not uncommon at trailheads along State Route 20. Remove your valuables and electronics and take associated electronic cords.,2021-07-28 16:44:07.0
COVID-19 Warnings,"Consistent with CDC guidance regarding areas of substantial or high transmission, visitors to our St. Croix parks, regardless of vaccination status, are required to wear a mask inside all park buildings. #RecreateResponsibly",2021-07-28 14:03:49.0
COVID-19 Mask Requirement,"Consistent with CDC guidance regarding areas of substantial or high transmission, visitors to Stonewall National Monument, regardless of vaccination status, are required to wear a mask inside all park buildings.",2021-07-28 14:01:50.0
COVID-19 Warnings,"Consistent with CDC guidance regarding areas of substantial or high transmission, visitors to our St. Croix parks, regardless of vaccination status, are required to wear a mask inside all park buildings. #RecreateResponsibly",2021-07-28 13:51:40.0
IMMEDIATE ACTION: Updated Mask Guidance,"On Tuesday, July 27, 2021, the Centers for Disease Control and Prevention (CDC) and the Department of the Interior (DOI) updated guidance and requirements that necessitate immediate action from all National Park Service sites and offices.",2021-07-28 13:47:22.0
White House Overlook and Trail Closed,"White House Overlook and Trail, one of seven overlooks and the only public trail on the South Rim Drive, remains closed because of safety and law enforcement concerns.",2021-07-09 12:17:08.0
"Wood lockers in cabins installed on November 1, 2018","On November 1, 2018, a new wood locker system was implemented for cabin users. Each cabin houses 18 lockers, each stocked with three logs. Lockers assignments are issued through existing cabin reservations.",2021-06-23 17:00:13.0
"RVs, Trailers and Other Oversized Vehicles (Limited Parking)","Due to increased visitation, parking lots often fill up early. Visitors need to be aware that parking for larger vehicles is very limited. RVs using ""tow dollies"" may have to unhook towed vehicles in order to turn around in the parking lot on busy days.",2021-06-21 11:03:54.0
Park in Progress,Coltsville NHP is working toward establishment and is not yet an official park. We do not have a Visitor Center and visitor services are limited. For more information please visit our Park Development and Calendar pages.,2021-06-17 12:01:16.0
Abandoned Mines Hazard,"Abandoned mines exist on park lands. Explosives, mine openings, unsafe structures and toxic chemicals may be present. Visitors should use extreme caution and avoid abandoned mineral properties.",2021-06-14 16:06:28.0
Park Movie,"Due to technical difficulties, the captioning on our park movie is not currently working and the lighting is not consistently dimming in the site's theater. For a captioned version, you can visit www.nps.gov/fosc/learn/photosmultimedia/fsmvideos.htm",2021-06-14 12:28:09.0
Visitor Centers Reopening,The visitor centers at Fort Caroline and Kingsley Plantation have reopened at a reduced capacity. Hours are Wednesday - Sunday from 9 a.m. to 4:30 p.m. Public restrooms are open.,2021-06-11 08:12:49.0
News Releases,Stay up to date with the latest big news items from Devils tower National Monument,2021-06-02 17:20:12.0
Impassable bridge on Charlie's Road,"Due to a bridge collapse on Charlie's Road approximately 1/3 of a mile north of Sherman Lumber Road, there is no access to the Seboeis River parcels of the monument via Charlie's Road. Access is available via American Thread Road.",2021-06-02 08:54:53.0
GPS Units,"Visitors relying on GPS Units, in order to direct them to our site, need to be cautious once they turn off State Highway 83. Several different GPS systems have misdirected visitors headed to our site. Road signs are more reliable as you approach the site.",2021-05-31 16:52:30.0
Salmi Road entrance to the Kab-Ash Trail Temporarily Closed,"Salmi Road entrance to the Kab-Ash Trail out of the Kabetogama community is temporarily closed. Access to the trail remains open Ash River Trail, the Meadwood Road, and at the eastern most terminus of the trail within the community of Ash River.",2021-05-30 11:18:38.0
Fort Donelson Visitor Center and Dover Hotel Exhibit Hours,"The Fort Donelson Visitor Center and the Dover Hotel are open daily, 9:00 am - 4:00 pm. Each facility is limited to a reduced capacity at this time.",2021-05-25 10:20:21.0
No Fuel Services,Fuel up before visiting! Agate Fossil Beds National Monument is 30-50 miles from the nearest service stations.,2021-05-07 13:38:17.0
Landslide north of Key Bridge,A temporary bridge has been installed 0.2 miles north of Key Bridge between Windy Run and Theodore Roosevelt Island to allow passage through a landslide area.,2021-05-07 13:25:59.0
Limited Cell Phone Coverage,Cell phone voice and data coverage is very limited in the park and surrounding area. Free visitor WiFi is available in the visitor center.,2021-05-07 13:18:05.0
Possession or use of marijuana inside Fire Island National Seashore is prohibited.,"While New York provides for regulated possession and use of marijuana, it remains an illegal drug under federal law and enforced within National Park units.",2021-04-12 16:18:47.0
Winter/Spring Road Conditions,"Park roads & eastern portion of H-58 are not plowed in winter. Roads open when snow melts (usually April/May). Spring conditions: snow, freezing rain, trees down, snowmobile studs on roads, black ice, and mud.",2021-03-31 09:32:37.0
Practice Social Distancing at Trail Heads and Overlooks,"Popular lookouts and trails may prevent social distancing guidelines from being met. These areas include: Wind Canyon and Buck Hill in the South Unit and Cannonball Concretions, Caprock Coulee, and Riverbend Overlook in the North Unit.",2021-03-27 17:43:21.0
South Unit Road Mile Marker 24-28,"Due to continuous road erosion the former scenic loop-between mile marker 24-28 is closed to all traffic, including pedestrian, and bicycle access.",2021-03-27 17:42:54.0
George Rogers Clark NHP in the Eastern Time Zone,George Rogers Clark National Historical Park is located in the Eastern Time Zone. The park is open 9:00 am until 5:00 pm (Eastern time). The memorial closes 15 minutes before the visitor center.,2021-03-19 14:49:44.0
Watch for River Hazards – Wear Your Life Vest,River users within the park on Nolin River and Green River will encounter downed trees. Life jackets must to be worn at all times.,2021-03-12 11:26:15.0
Office closure,"Due to the Covid-19 pandemic we have adjusted our business operations, including mailing. Our offices are currently closed and employees are working remotely. Please contact the Trail Administrator directly at Johnny_Carawan@nps.gov with any requests.",2021-03-03 15:33:32.0
Vehicle Length Limits,"Vehicles longer than 24 feet are not permitted past the visitor center on Bonita Canyon Drive. Vehicles up to 29 feet are still allowed to stay in the campground, but can't go further. Parking for large vehicles and trailers is available at Faraway Ranch.",2021-02-17 13:10:45.0
County Line Road Closed Monday To Friday,"County Line Road is temporarily closed during the week, from Monday through Friday due to heavy construction traffic. The closure will apply to all vehicular, pedestrian, and bicycle traffic. Please find an alternate route.",2021-02-01 09:30:55.0
Trail Alerts,Trail closures are reported to the North Country Trail Association. Go to their Trail Alerts page for the latest information.,2020-12-28 16:33:22.0
Navigation,"Do not rely on GPS digital navigation systems to find your way to Badlands National Park. Please note that the Visitor Center at 25216 Ben Reifel Road, Interior SD 57750 is located just off I-90.",2020-12-16 09:25:24.0
Glover-Archbold trail detour,"For visitor safety, the southern end of the Glover-Archbold Trail is under an emergency closure until further notice due to aerial hazards. Please follow the posted detour along Foxhall Rd. / 44th St. NW / P St. NW.",2020-12-09 21:39:51.0
Bingham Drive NW closed temporarily,"Until further notice, Bingham Drive NW is closed between Oregon Avenue NW and Beach Drive NW due to a sewer rehabilitation project. The adjacent paved trail will remain open during construction for pedestrians and cyclists.",2020-12-09 21:39:31.0
Credit/Debit Card Only to pay entrance fees,"Capulin Volcano only accepts credit/debit cards for entrance fees. Our cooperating association Park Store accepts cash, credit/debit cards, and checks. There are limited cash only entrance passes available through our cooperating association Park Store.",2020-10-28 10:47:54.0
Trail Conditions,"Trail conditions can vary throughout the state. Before heading out, check the trail conditions, potential re-routes and closures on the Ice Age Trail Alliance website.",2020-10-23 14:28:03.0
"Closure of Anza Expedition Exhibit at Martinez Adobe in Martinez, CA","For safety reasons, access to the Martinez Adobe, which houses the Anza exhibit, is blocked off from the public and remains closed for all use until the structure is stabilized. Currently, there is no timeline for the repairs to be complete...",2020-09-28 17:29:18.0
No Camping At This Time,The park is unable to allow camping at this time for scouts groups. Please check back at a later time for any updates. Sorry for any inconvenience.,2020-09-23 10:46:23.0
Campground reservations and payments must be made online,"Reservations and payments for camp sites at Oregon Inlet, Cape Point, Frisco, and Ocracoke campgrounds must be made online at www.recreation.gov. Click link below for additional information.",2020-09-04 09:37:15.0
Visitor Center Now Open,"The visitor center is now open. Social distancing protocols are required, and masks are recommended.",2020-09-01 09:50:55.0
Butterfield Trail Closure,"The Butterfield Trail is currently closed to horses and pack animals. It remains open for hiking and foot traffic. For more information, see our policy page.",2020-08-28 14:26:24.0
Paddling Hazard Upstream from Lock 39/Rockside Road,A significant woody debris hazard exists near a set of metal pylons and timber groynes just upstream from the Lock 39/Rockside Rd. access. Do not attempt to paddle through during medium/low flow. Portage on river right. .,2020-08-13 11:56:49.0
Coronavirus Policy,"In response to advice from the CDC to take precautions to reduce coronavirus spread, the TR Inaugural Site is amending its hours and tour schedules. All tours by reservation only. See TRSite.org for details, reservations, and updates.",2020-08-11 13:42:20.0
What To Know Before You Visit,"Park grounds and visitor center are open, but you're encouraged to call the visitor center at 318-926-5492 for the latest information and COVID-19 precautions before you visit.",2020-07-20 13:22:54.0
Partial Closure due to Carr Fire,"Some areas of the park remain closed. Please check the Current Conditions page to see what roads, trails, picnic areas and campgrounds are currently open.",2020-06-30 13:55:37.0
Motorized Recreational Scooters Not Permitted in Park,"For the safety and protection of visitors and park resources, motorized scooters are not permitted within the park. Any vehicles (scooters, bicycles, etc.) that are part of a ride-share program may not be left behind for pick up inside the park",2020-06-08 08:37:13.0
Be Prepared for your Visit,"Before hiking at Moores Creek, make sure to bring all your necessary medications, sunscreen, bottled water for hikes, loose fitting clothes for hiking, and any other items you may need.",2020-05-27 09:43:21.0
Rip Currents and Rough Surf,Remember that rough surf is dangerous & rip currents can be deadly. Please use caution when swimming at Canaveral National Seashore.,2020-05-21 10:04:59.0
Closure: Portion of the Village Trail,The river bank section of trail near the Sakakawea Village is closed due to ongoing erosion until further notice. The village site itself remains accessible by hiking from the visitor center.,2020-05-07 10:57:38.0
Battery Kemble Park Parking Area Closed Until Further Notice,"As a public health precaution, some facilities in Rock Creek Park are temporarily closed for the safety of staff and visitors. Updates will be posted to the park website, www.nps.gov/cwdw and on Facebook: @CWDWNPS Info: 202-895-6000",2020-04-10 12:31:55.0
Requirements to drive a UTV (side-by-side) in Parashant if it is licensed in another State,"To use a UTV on the NPS section of the monument and Mohave County roads monument-wide, it must be registered and meet Arizona street legal (on-highway use) requirements including appropriate insurance and mandatory equipment. See More for Arizona regs.",2020-04-09 16:56:52.0
National Park Service - Novel Corona Virus Update,"The National Park Service (NPS) strives to ensure the safety of its visitors, employees, volunteers, and partners. Visit the following link for timely updates on the NPS response to Covid 19 - https://www.nps.gov/aboutus/news/public-health-update.htm",2020-03-27 14:17:23.0
National Park Service - Novel Corona Virus Update,"The National Park Service (NPS) strives to ensure the safety of its visitors, employees, volunteers, and partners. Visit the following link for timely updates on the NPS response to Covid 19 - https://www.nps.gov/aboutus/news/public-health-update.htm",2020-03-27 14:16:28.0
Covid19 Response,"As a reminder, there are no NPS facilities within Castle Mountains National Monument. We encourage those in California to follow the governor's shelter-in-place order and to avoid unnecessary travel. There are no services and response times may be longer.",2020-03-27 12:17:40.0
