Alert,parkCode,Description,Date,Park Name
National Park Service Updates Mask Requirements Following new CDC Guidance,beol,"In accordance with CDC guidance for counties with low to medium COVID transmission rates, masks are optional in park buildings. In areas CDC identifies as high transmission rates, masks are required in all NPS buildings regardless of vaccination status.",2022-12-13 22:36:42.0,Bent's Old Fort National Historic Site
COVID-19 -Masks May Be Required Inside Federal Buildings if Community Level is High,cabr,"If the County returns to High Community Level, then as per NPS guidance, masks will be required in federal buildings.",2022-12-13 17:47:51.0,Cabrillo National Monument
Washington Monument closed one day a month for maintenance,wamo,"The monument is closed one day a month for maintenance. Closures for 2023: Tue, Jan. 10; Mon, Feb. 6; Fri, Mar. 3; Thu, Apr. 6; Tue, May 2; Mon, Jun. 5; Fri, Jul. 7; Thu, Aug. 3; Tue, Sept. 5; Mon, Oct. 2; Fri, Nov. 3; Tue, Dec 5.",2022-12-12 07:48:28.0,Washington Monument
Casa Grande Ruins National Monument is Fee Free,cagr,"Casa Grande Ruins National Monument no longer charges a fee to enter the monument. The annual and senior passes are no longer available for purchase, however we are still able to issue the free passes.",2022-12-11 16:54:29.0,Casa Grande Ruins National Monument
Saxton House by Guided Tour Only,fila,"We offer guided tours of the Saxton House at 10:00am, 12:00pm, and 2:00pm. Tours have a capacity of twelve people per tour, and begin at the Education Center. Tickets are on a first come first serve basis.",2022-12-08 09:10:46.0,First Ladies National Historic Site
Park Closed Until Summer 2023,jofi,The site is closed for Visitor Center renovations and other needed maintenance. Renovations were slowed due to the COVID-19 pandemic. The site is tentatively scheduled to reopen in Summer 2023. No visitor access will be available prior to then.,2022-12-06 09:07:16.0,John Fitzgerald Kennedy National Historic Site
Annual Dipsea Trail Detour Over Redwood Creek in Effect,muwo,The annual Dipsea closure over Redwood Creek is in effect between the auxiliary Muir Woods parking lot and connection with the Deer Park Fire Road. Continue down Muir Woods road for .5 miles to the Deer Park Fire Road on the right. This is a 1 mile detour,2022-12-02 17:01:08.0,Muir Woods National Monument
"Parking & Shuttle Reservations Always Required - See ""Know Before You Go"" for Details",muwo,"Reservations are required for all personal vehicles and shuttle riders at Muir Woods. You can make your reservation by visiting www.gomuirwoods.com. Visit our ""Know Before You Go"" webpage to learn more important details before your visit.",2022-06-01 11:43:35.0,Muir Woods National Monument
No Cell Service or WiFi,muwo,"We do not recommend taking a rideshare or taxi to Muir Woods. There is NO cell service or wifi at Muir Woods. When hiring a taxi visitors have the option of negotiating a flat rate, or using the meter. Under some circumstances a flat rate may be cheaper.",2019-05-09 21:21:43.0,Muir Woods National Monument
Municipal Pier at Aquatic Park is closed due to safety concerns.,safr,"Municipal Pier is closed permanently. After a safety review with the U.S. Public Health Service, it was determined that the deterioration of Municipal Pier in Aquatic Park Cove is unsafe for public use.",2022-12-02 17:00:45.0,San Francisco Maritime National Historical Park
Seasonal Park Operations: October - April,gosp,"The Visitor Center and Park Store are open Thursday - Monday, CLOSED Tuesday and Wednesday. Outside attractions remain open to the public.",2022-12-01 15:33:37.0,Golden Spike National Historical Park
GPS Units,gosp,"Visitors relying on GPS Units, in order to direct them to our site, need to be cautious once they turn off State Highway 83. Several different GPS systems have misdirected visitors headed to our site. Road signs are more reliable as you approach the site.",2021-05-31 16:52:30.0,Golden Spike National Historical Park
Current Detour on the Natchez Trace Parkway,natr,"Follow orange detour signs. Parkway is closed between south of Colbert Ferry, AL (mp 326) and Tishomingo State Park, MS (mp 303). There may be one-lane closures on the TN River John Coffee Memorial Bridge. Click ""more"" below for map. Bike camp is open.",2022-11-30 11:37:58.0,Natchez Trace Parkway
COVID-19 Masking Guidance,chir,"The park continues to monitor the CDC's community level for COVID-19. When that level is at HIGH, masks will be required in the visitor center.",2022-11-30 10:15:29.0,Chiricahua National Monument
Faraway Ranch House Closure,chir,The Faraway Ranch Historic House is currently closed for restoration. No tours are being offered at this time.,2022-10-30 17:27:16.0,Chiricahua National Monument
Vehicle Length Limits,chir,"Vehicles longer than 24 feet are not permitted past the visitor center on Bonita Canyon Drive. Vehicles up to 29 feet are still allowed to stay in the campground, but can't go further. Parking for large vehicles and trailers is available at Faraway Ranch.",2021-02-17 13:10:45.0,Chiricahua National Monument
COVID-19 Masking Guidance,fobo,"The park continues to monitor the CDC's community level for COVID-19. When that level is at HIGH, masks will be required in the visitor center.",2022-11-30 10:14:04.0,Fort Bowie National Historic Site
Butterfield Trail Closure,fobo,"The Butterfield Trail is currently closed to horses and pack animals. It remains open for hiking and foot traffic. For more information, see our policy page.",2020-08-28 14:26:24.0,Fort Bowie National Historic Site
Do Not Feed or Touch Wildlife,caco,Wildlife accustomed to being fed will become aggressive to obtain food. This includes coyote and fox. There have been serious incidents involving bites to people and pets. Report injured or deceased wildlife to park staff. Never touch injured wildlife.,2022-11-29 11:34:50.0,Cape Cod National Seashore
Stay Back from Ocean Bluffs,caco,Remain off tops of bluffs and away from the bases of bluffs on the beach. Bluffs along the Outer Cape are unstable and could collapse at any time without warning.,2021-10-30 10:06:03.0,Cape Cod National Seashore
Backcountry and Trail Closures Due to Flood Damage,cave,"The backcountry & the following trails are closed: Slaughter & Yucca Canyon & access roads, Guadalupe Ridge (visitor center to west park boundary), Rattlesnake Canyon, Juniper Ridge, Ussery, & Double Canyon. Cavern trails & the Old Guano Trail are open.",2022-11-27 14:59:35.0,Carlsbad Caverns National Park
Walnut Canyon Desert Drive Closed Due to Flood Damage,cave,Recent flooding has caused major damage to the road. It is unknown at this time when repairs will begin or the length of time to complete. The main park road to the visitor center and cavern is open.,2022-11-27 14:59:24.0,Carlsbad Caverns National Park
Reservations Required to Enter Carlsbad Cavern,cave,"RESERVATIONS REQUIRED to enter cavern and must be purchased by clicking ""more"" or calling 877-444-6777. No reservations available at the park. Reservations only select the entry time. Upon arrival at the visitor center, entrance tickets must be purchased.",2022-11-16 13:38:50.0,Carlsbad Caverns National Park
COVID-19: Face Masks Optional,cave,"Consistent with CDC community level guidance, face masks are currently optional for visitors to Carlsbad Caverns National Park inside all park buildings and the cavern. Please check this site before visiting due to possible community level changes.",2022-08-24 14:02:45.0,Carlsbad Caverns National Park
Items Worn or Used in Other Caves Not Allowed,cave,"A disease know as White-Nose Syndrome is killing bats in North America. To prevent it from spreading to our bats, do not wear shoes, clothing, or bring any gear into any cave at Carlsbad Caverns National Park that were in another cave.",2020-02-08 15:16:11.0,Carlsbad Caverns National Park
Footwear in the Cavern,cave,"For safety, closed-toe shoes with good traction are recommended. Flip flops, sandals, and some walking shoes have little or no traction and increase the possibility of slips, trips, and falls. Watch your step and use the handrails when necessary.",2018-09-19 18:25:10.0,Carlsbad Caverns National Park
Unmanned Aircraft (Drones) Are Prohibited,cave,"The use of unmanned aircraft, also known as drones, is prohibited within Carlsbad Caverns National Park.",2018-07-11 13:54:39.0,Carlsbad Caverns National Park
Kenilworth Park Road Repairs and Turf Restoration,keaq,"Over the next 4 months, road repairs will be made to the Deane Ave. extension through Kenilworth Park. The park will install temporary fencing, and regrading and re-seeding of the adjacent turf areas will be accomplished. Re-seeding will occur Spring 2023",2022-11-25 07:46:55.0,Kenilworth Park & Aquatic Gardens
January 2023 - April 2023,elro,"The Eleanor Roosevelt NHS (Val-Kill) will close for the Winter. The grounds will remain open every day. We will re-open in the Spring of 2023, date TBD.",2022-11-23 13:10:33.0,Eleanor Roosevelt National Historic Site
Reduced Speed Limit on North Parkway,gwmp,The speed limit on the northern section of the parkway has been reduced to 40 MPH in the work zone during the rehabilitation project. Click the link to sign up for updates on the project.,2022-11-23 09:28:24.0,George Washington Memorial Parkway
"Great Falls Visitor Center, Some Turkey Run Parking Areas Closed for Construction",gwmp,"The Visitor Center at Great Falls Park, Parking Lot C-2 and some of Parking Lot B at Turkey Run Park are temporarily closed for construction.",2022-09-26 13:47:29.0,George Washington Memorial Parkway
Potomac Heritage Trail detour near Glebe Road in Arlington County,gwmp,"The trail just south of Glebe Road in Arlington County, VA, has been washed out. A temporary detour is in place and the trail remains open. The NPS is working with Arlington County to repair the damage.",2021-08-27 14:11:34.0,George Washington Memorial Parkway
Major Construction Project has Begun at the Fall River Entrance to Rocky Mountain National Park,romo,Fall River Entrance to RMNP is under construction. One lane is open to enter. Visitors are encouraged to avoid the Fall River Entrance and use the Beaver Meadows Entrance via U.S. Hwy 36. Expect wait times at both major east side entrances to RMNP.,2022-11-22 17:07:58.0,Rocky Mountain National Park
Trail Ridge Road is closed to through traffic for the season,romo,Trail Ridge Road is currently closed at Many Parks Curve on the east side of RMNP and at the Colorado River Trailhead on the west side.,2022-10-24 19:35:22.0,Rocky Mountain National Park
COVID-19 Masking Advisory,romo,"Larimer, Boulder, and Grand Counties continue to switch between High, Medium, and Low community transmission levels for COVID-19. Masks are advised for Beaver Meadows VC, Moraine Park Discovery Center, Fall River VC, Alpine VC, and shuttle buses.",2022-08-15 13:37:00.0,Rocky Mountain National Park
"All Tickets are First-Come, First Served; We Cannot Take Reservations",hstr,"All tickets to the Truman Home and the Truman Farm Home are first-come, first-served. At this time, we are unable to take any reservations for groups.",2022-11-20 08:33:52.0,Harry S Truman National Historic Site
Tours of the Truman Farm Home have Concluded for 2022,hstr,"Ranger-guided tours of the Farm Home have concluded for the season. Grounds of the Truman Farm are open daily sunrise to sunset, with a cell phone tour available on the new NPS app. We'll be back next spring!",2022-10-28 09:33:35.0,Harry S Truman National Historic Site
Minidoka Visitor Center Closed for the Season,miin,The Minidoka Visitor Center is closed until Summer 2023. Self-guided walking trails remain open daily. Brochures and passport stamps are available outside the visitor center at the After Hours box. Restrooms are unavailable.,2022-11-11 11:56:41.0,Minidoka National Historic Site
Scenic Drive Closed,fobu,"The Scenic Drive is closed for the winter season. The visitor center is accessible and open Mondays-Saturdays 8-4:30, excluding holidays.",2022-11-07 15:57:30.0,Fossil Butte National Monument
Visitor Center Hours,flfo,"The Visitor Center area is open from 9am until 4:30pm. The Visitor Center, Petrified Forest loop, Ponderosa loop, and parking lot close promptly at 4:30pm. Remaining vehicles subject to $180 fine.",2022-11-05 14:39:46.0,Florissant Fossil Beds National Monument
Credit Card Only,flfo,"Entrance fee and pass purchases will need to be made with a credit or debit card. The monument will not be processing cash transactions. Apple, Google, and Samsung Pay are accepted.",2022-06-20 13:42:16.0,Florissant Fossil Beds National Monument
COVID-19 Mask Requirement - Currently Optional,flfo,"Consistent with CDC guidance masking is currently optional due to low transmission rates in the surrounding area. If this should move to a high level, masks will be required.",2022-03-05 11:40:46.0,Florissant Fossil Beds National Monument
COVID-19 Response,nepe,Masks are optional for all individuals.,2022-11-04 14:23:52.0,Nez Perce National Historical Park
"Weir House, Weir Studio, Young Studio, Visitor Center, and Restrooms Closed",wefa,"Please note starting November 1st all park buildings are closed for the season. Park grounds are open daily year-round and maps, brochures, and passport stamp are available in the parking lot kiosk. Restrooms are not available during the off-season.",2022-11-01 15:41:31.0,Weir Farm National Historical Park
Portrait Photography Requires a Permit,wefa,"Any portrait photography session (school photos, family portraits, engagement photos, etc.) requires a permit. Visit our Permits and Reservations Page for call 203-834-1896 x13 for more info.",2022-02-22 12:32:37.0,Weir Farm National Historical Park
No Recreational Vehicle (RV) Parking,wefa,Our parking lot cannot accommodate RV's or trailers. Please call the visitor center for options as we have a nearby lot for trailers to detach and are happy to help visitors in RV's plan their way to the park. RV's should NOT pull into the parking lot.,2017-07-16 13:50:05.0,Weir Farm National Historical Park
Island Closed from November 1 through April 15 Annually,isro,"From November 1 - April 15 annually, Isle Royale and its surrounding islands are closed to all visitors. Lake Superior waters are open to boaters. All islands reopen April 16. Call (906) 482-0984 to discuss trip planning, obtain permits, or pay fees.",2022-11-01 13:29:39.0,Isle Royale National Park
Visitor Centers are Closed for the Season,isro,"All park visitor centers have closed for the season. This includes the Houghton, Rock Harbor, & Windigo Visitor Centers. For trip planning assistance, contact the park at 906-482-0984.",2022-09-29 12:26:25.0,Isle Royale National Park
Center grass panel fenced off for over-seeding at Lincoln Park,cahi,The National Park Service is improving grassy areas at Lincoln Park by aerating the soil and over-seeding the center grass panel. Fencing has been erected until the seeding has taken in the center panel.,2022-10-31 14:45:57.0,Capitol Hill Parks
"Martin Van Buren NHS Visitor Center and Historic House Will Close for the Season on November 6, 2022",mava,"The visitor center and Lindenwald, the historic house, will close for the season on November 6, 2022. The grounds are available for people to walk the trails and read the informational panels. No services will be available for the public.",2022-10-31 07:33:22.0,Martin Van Buren National Historic Site
Eastern National Bookstore Remains Closed,mava,The Eastern National Bookstore located at Martin Van Buren NHS remains closed at this time.,2022-06-19 08:20:34.0,Martin Van Buren National Historic Site
"Jumonville Glen, Mount Washington Tavern, and CCC Picnic Area Closed for Winter",fone,"Jumonville Glen, Mount Washington Tavern, and the CCC Picnic Area Road are closed November 1st, 2022 through April 30th, 2023. The gates and buildings in these areas will be closed to the public and vehicle access for the Winter season.",2022-10-29 09:11:11.0,Fort Necessity National Battlefield
CCC Camp Picnic Pavilions Closed,fone,The pavilions in the CCC Camp Picnic Area are closed for the immediate future for restoration work. The Picnic Area remains open to the public.,2022-04-28 15:13:05.0,Fort Necessity National Battlefield
Restroom Locations that Remain Open for Fall and Winter,indu,"The following locations have restrooms available during the fall and winter seasons: Glenwood Dunes, Bailly contact, Lake View, Tremont, Mount Baldy, and West Beach contact restrooms remain open all year.",2022-10-28 12:23:00.0,Indiana Dunes National Park
Katahdin Loop and North Entrance Roads Closed to Motorized Vehicles 11/1/22,kaww,"As of November 1, 2022, the Katahdin Loop and North Entrance Roads will close to motorized vehicle traffic for the winter season. Access by foot and bicycle is permitted.",2022-10-28 10:47:37.0,Katahdin Woods and Waters National Monument
Impassable bridge on Charlie's Road,kaww,"Due to a bridge collapse on Charlie's Road approximately 1/3 of a mile north of Sherman Lumber Road, there is no access to the Seboeis River parcels of the monument via Charlie's Road. Access is available via American Thread Road.",2021-06-02 08:54:53.0,Katahdin Woods and Waters National Monument
Pet Policy,azru,"Pets are not allowed inside the visitor center at Aztec Ruins, nor are they allowed on the archaeological trail through Aztec West. Pets are welcome in the parking lot, the picnic area, and along the Old Spanish Trail. Service animals are the exception.",2022-10-27 17:38:35.0,Aztec Ruins National Monument
Last Day of 2022 Season,pevi,Last day of the 2022 is October 17th. We will reopen on May 20th 2023.,2022-10-27 09:38:14.0,Perry's Victory & International Peace Memorial
Dangling Rope Marina Closed Until Further Notice,glca,"Due to significant wind damage and low water conditions, Dangling Rope Marina is closed until further notice. The damaged docks are not safe for visitors or employees.",2022-10-25 12:28:01.0,Glen Canyon National Recreation Area
Hite fuel and convenience store closed until further notice,glca,"Hite retail store, pay-at-the-pump fuel service, the visitor comfort station, and designated camping areas will be closed. Public restrooms at the Hite Ranger Station, fresh drinking water spigot and RV dump are open. Plan your fuel use ahead.",2022-10-25 12:27:18.0,Glen Canyon National Recreation Area
No Dock Access to Rainbow Bridge,glca,"The docks/restroom are now upstream, not connected to the Rainbow Bridge trail shoreline. Small vessels can beach at the shoreline at your own risk. Expect quicksand and/or scrambling. Take sufficient fuel for your vessel to get there and back.",2022-10-11 13:33:42.0,Glen Canyon National Recreation Area
Multiple Lake Powell Launch Ramps Closed Due to Low Water,glca,"Closed to all access: Wahweap Stateline, Wahweap Auxiliary, Bullfrog Main, and Bullfrog Spur. Inoperable to motorized vessel: Hite, Halls Crossing, Antelope Point Public, Wahweap Main.",2022-05-20 17:43:17.0,Glen Canyon National Recreation Area
Lake Powell Recreational Water Advisory,glca,"Anytime that you do recreational activities (swimming, water skiing, making sand castles, etc.) on the beaches or in the waters of Lake Powell you are strongly encouraged to follow basic hygiene practices.",2019-10-01 12:39:15.0,Glen Canyon National Recreation Area
Alibates Quarries Tours will be offered by appointment only during the off-season,alfl,"During the off-season, Alibates Quarries Tours will be offered by appointment only due to limited staff. Please call 806-857-6680 to make a reservation.",2022-10-24 10:47:27.0,Alibates Flint Quarries National Monument
Lincoln Memorial elevator out of order,linc,The elevator from the ground level to the chamber of the Lincoln Memorial is currently out of order. We are working to get it repaired as quickly as possible and apologize for the inconvenience. (10/12/22),2022-10-19 12:50:21.0,Lincoln Memorial
Park in Progress,blsc,"Blackwell School NHS is working toward establishment and is not yet an official park. Visitor services are very limited. For more information on how to visit, please visit our FAQ page.",2022-10-18 17:17:32.0,Blackwell School National Historic Site
MD - Construction Closure of Life of the Forest and Marsh Trails,asis,"Beginning Wed. Oct 12, 2022 the Life of the Marsh Trail & Life of the Forest Trail will be closed for construction. The closure will affect both the nature trail & parking in each area. Trails & parking lots will be closed to vehicles, bikes & pedestrians",2022-10-11 15:04:02.0,Assateague Island National Seashore
Oakland Main House Self-Guided Tours,cari,The interior of the Oakland Main House is ONLY open to the public on weekends from 10 a.m. to 2 p.m. All tours of the house are self-guided and occupancy within the building is limited. Please plan accordingly.,2022-10-08 14:52:46.0,Cane River Creole National Historical Park
Face masks are optional,cari,"As of September 24, 2022 masks are optional in park buildings.",2022-09-25 11:05:31.0,Cane River Creole National Historical Park
Magnolia Plantation Detour,cari,"Due to a road closure on Highway 119, Magnolia Plantation can only be reached from the south via Louisiana Highway 1.",2022-06-01 13:20:48.0,Cane River Creole National Historical Park
Visitor Center Reopens for Holiday Weekend,sacr,"The Saint Croix Island IHS visitor center will reopen Fri Oct 7 through Mon Oct 10 for the Indigenous People's Day holiday weekend. Then on Tue Oct 11, the site will close for the season as scheduled.",2022-10-05 09:30:10.0,Saint Croix Island International Historic Site
Operating Hours & Seasons,sacr,The park is normally open year-round during daylight hours. Some park facilities are closed during the winter.,2022-04-01 16:25:57.0,Saint Croix Island International Historic Site
Visitor Center Closed for Winter Season,tule,The Tule Lake National Monument Visitor Center is closed for the winter season. Tours can be requested 2 weeks in advance by calling (530) 260 0537. For more info on how to experience the Monument please click below.,2022-10-04 19:57:22.0,Tule Lake National Monument
Visitor Center Closed for Repairs,aleu,The Visitor Center is currently closed for structural repairs.,2022-09-22 15:23:59.0,Aleutian Islands World War II National Historic Area
Kalawao County Restrictions,kala,Kalawao County is closed to the general public and commercial tours (per authority under HRS 326) in alignment with CDC and Hawaii State Department of Health guidance until further notice.,2022-09-21 21:37:38.0,Kalaupapa National Historical Park
Kalaupapa Trail Is Restricted,kala,"Access to Kalaupapa Trail is restricted to Kalawao County residents and visitors with approved permits issued by Hawaii State Department of Health. Refer to Superintendentʻs Compendium, 36 CFR1.5(a)(1). Violations will result in arrest/fine.",2022-04-27 21:19:44.0,Kalaupapa National Historical Park
Phones Are Not Operational,kala,"We continue to experience intermittent outages with our phone lines. If your call does not go through, please try again later, or try to leave us a message and we will get back to you. Thank you for your understanding.",2022-01-04 19:40:04.0,Kalaupapa National Historical Park
Arrival by Boat,kala,It is prohibited to come within 1/4 mile of the Kalaupapa shoreline. Access by boat within the quarter mile offshore park boundary requires a special use permit.,2017-09-21 18:06:38.0,Kalaupapa National Historical Park
Unmanned Aircraft,kala,"Launching, landing, or operating an unmanned aircraft from or on lands and waters administered by the National Park Service within the boundaries of Kalaupapa National Historical Park is prohibited. This includes model airplanes, quadcopters, and drones.",2016-03-31 14:47:23.0,Kalaupapa National Historical Park
Landing at Hwy 137,niob,The highway 137 bridge landing sustained flood damage in 2019 and the landing restoration by NDOT has been completed. The area is smaller than in the past and the access to the water is steeper. Use caution when accessing the landing,2022-09-20 13:15:16.0,Niobrara National Scenic River
COVID-19 Mask Requirement,niob,"In accordance with CDC protocols, in medium COVID-19 community level areas, masks are optional, and you are welcome to wear a mask if it makes you more comfortable. Additional Details are available at www.nps.gov/coronavirus  ",2022-09-20 13:12:43.0,Niobrara National Scenic River
Life Jackets Required!,niob,"By Nebraska State law, all children 12 years old and younger must WEAR a USCG approved life jacket to float the Niobrara NSR. Anyone over 12 years old must HAVE a life jacket. If you are renting equipment, your outfitter will provide them.",2017-03-09 15:41:43.0,Niobrara National Scenic River
Ranger Talks Temporarily Resumed,sand,Ranger talks at Sand Creek Massacre NHS have resumed. The site is open Thursday - Monday from 9am to 4pm and talk take place at 10am and 2pm.,2022-09-19 17:11:08.0,Sand Creek Massacre National Historic Site
Park Store Operations,sand,The WNPA Park Store is open inside the Visitor Contact Station at the historic site outside of Eads. The occupancy limit is 4 people at a time. Masks are optional.,2022-06-18 12:43:39.0,Sand Creek Massacre National Historic Site
COVID-19 Mask Requirement,sand,"Consistent with CDC's COVID-19 Community Level tool, visitors to Sand Creek Massacre NHS are encouraged but not required to wear a mask inside all park buildings.",2022-03-13 13:24:27.0,Sand Creek Massacre National Historic Site
Closure for Tropical Storm Fiona,chri,"In anticipation of Tropical Storm Fiona, the park will be closed on Saturday, September 17.",2022-09-16 15:43:39.0,Christiansted National Historic Site
COVID-19 Warnings,chri,"Consistent with CDC guidance regarding areas of substantial or high transmission, visitors to our St. Croix parks, regardless of vaccination status, are required to wear a mask inside all park buildings. #RecreateResponsibly",2021-07-28 13:51:40.0,Christiansted National Historic Site
Park Operating Hours,foun,Fort Union National Monument is currently operating on its winter schedule. The park is open seven days a week from 8 am - 4 pm.,2022-09-10 09:45:45.0,Fort Union National Monument
Reduced cold-water flow at the Serpentine Hot Springs bathhouse,bela,"Cold water brought in via a pipe helps reduce the temperature of the water in the tub. With the reduced flow, temperatures in the tub are dangerously hot.",2022-09-09 17:15:47.0,Bering Land Bridge National Preserve
Masks no longer required at Pearl Harbor National Memorial,valr,Masks will no longer be requiring in any of our buildings or locations at Pearl Harbor National Memorial. This alert will be updated again as needed.,2022-09-08 15:57:31.0,Pearl Harbor National Memorial
Black Bears at Big South Fork,biso,"Black bears call Big South Fork NRRA home. Help keep them healthy and safe by storing all food, cooking items, feed, cosmetics and coolers properly stored when at campgrounds or in the backcountry.",2022-09-08 11:26:50.0,Big South Fork National River & Recreation Area
The Use of Drones is Prohibited at Big South Fork National River & Recreation Area,biso,"Currently, the use of drones is prohibited at Big South Fork and all National Parks. Detailed information about the policy is available...",2016-06-12 09:50:45.0,Big South Fork National River & Recreation Area
Firewood ban is in effect for the park.,biso,"Firewood ban is in effect for the park. Only firewood from the surrounding counties of Scott, Morgan, Pickett, and Fentress, in Tennessee, and McCreary in Kentucky, can be brought into the park. Firewood is for sale or you may use dead and down wood.",2016-04-20 08:21:16.0,Big South Fork National River & Recreation Area
Boater Awareness,bisc,Please use caution in park waters due to navigational markers that may be missing or moved due to unforeseen circumstances.,2022-09-07 17:29:16.0,Biscayne National Park
"Plains High School Visitor Center and Museum, Jimmy Carter Boyhood Farm, and Plains Depot are open.",jica,"Due to decreased levels of transmission, the CDC has recently lowered the COVID-19 Community Levels for Sumter County to “Low”. Masks are not required in NPS buildings.",2022-09-03 13:35:06.0,Jimmy Carter National Historical Park
Newton B Drury Scenic Parkway: Hike and Bike Events,redw,"On the first Saturday of each winter month (Oct to May), the Scenic Parkway becomes a family (and pets-on-leash) friendly hike and bike experience. Parkway will be closed to motorized vehicles on Friday nights and will reopen Sunday mornings.",2022-09-02 14:08:41.0,Redwood National and State Parks
Your GPS Is Wrong,redw,"DO NOT use ""Bald Hills Road"" or ""Tall Trees Grove"" to drive to Redwood National Park. Most digital maps and apps (yes, including the one you love) do not have accurate information in this area. Our website/mobile app has good directions to get here.",2022-09-02 14:06:02.0,Redwood National and State Parks
Backcountry Camping & Tall Trees Permits Are Online,redw,Permits for backcountry camping or hiking Tall Trees Grove are not being issued at our visitor centers. These free permits must be applied for online.,2022-06-21 13:13:33.0,Redwood National and State Parks
Covid Status,redw,"Find out what are the conditions across the Park, campgrounds, and within our visitor centers. Our state and federal response is driven by what is happening in Del Norte and Humboldt Counties. We follow county and state health response guidelines.",2022-06-21 12:55:23.0,Redwood National and State Parks
"Mask update as of August 29, 2022",cacl,COVID-19 Mask Requirement Consistent with CDC guidance NYC is considered medium risk. Masks are optional inside buildings,2022-08-29 08:14:51.0,Castle Clinton National Monument
"Masks are OPTIONAL for visitors - as of August 23, 2022",wiho,"Visitors have the option to wear a mask inside of all park buildings, effective August 23rd, 2022.",2022-08-23 10:46:09.0,William Howard Taft National Historic Site
Louisiana Circle Closed,vick,Louisiana Circle is closed to vehicles and pedestrians due to slope instability. Navy Circle is open and also provides views of the Mississippi River.,2022-08-19 11:14:15.0,Vicksburg National Military Park
"Tour Road, Visitor Center, and Restrooms are Open",vick,The Visitor Center is open 8:30 am to 4:30 pm daily. The tour road is open from 8 am to 5 pm with last entry at 4:40 pm daily. Restrooms are open. Park grounds are open sunrise to sunset daily.,2022-06-30 07:26:37.0,Vicksburg National Military Park
North Union Avenue and Grant's Circle Closed,vick,"Due to weather related incidents, North Union Avenue and Grant's Circle are closed to vehicular and recreational traffic. Entering these areas is prohibited. A portion of Grant Avenue is open for touring.",2022-06-01 10:40:10.0,Vicksburg National Military Park
USS Cairo Museum and Outdoor Exhibit Area are Open,vick,The USS Cairo Museum is open at a reduced capacity Thursday-Sunday from 8:30 a.m. to 4:30 p.m. Restrooms and the USS Cairo outdoor exhibit area are open daily. The tour road is open daily from 8:30 a.m. to 5 p.m. with last entry at 4:40 p.m.,2022-06-01 10:37:11.0,Vicksburg National Military Park
COVID-19 Community Level: Low,puhe,"In Hawaii County, COVID-19 community level is Low. Wearing a face mask is optional. Thank you for helping to keep yourself and others safe and healthy.",2022-08-16 13:22:08.0,Puʻukoholā Heiau National Historic Site
Point Supreme Overlook Closure,cebr,The Point Supreme Overlook and most of the parking lot are closed to all access. The area will be closed through the 2022 season.,2022-08-15 10:08:03.0,Cedar Breaks National Monument
Ancestral Chamber temporarily closed,afbg,Several features within the Monument’s outdoor memorial are temporarily closed due to safety concerns. The Ancestral Chamber is showing signs of stress and must be assessed prior to reopening. See https://www.nps.gov/afbg/learn/news/temp-closure-ac.htm,2022-08-12 10:09:42.0,African Burial Ground National Monument
Use Caution on Roads with Debris,camo,"Flooding has resulted in debris along many roads within the park boundaries. Please use caution when driving on paved roads and watch for road crews at work. Be aware that unimproved and dirt roads may be impassible due to washouts, so plan accordingly.",2022-07-27 16:50:27.0,Castle Mountains National Monument
Covid19 Response,camo,"As a reminder, there are no NPS facilities within Castle Mountains National Monument. We encourage those in California to follow the governor's shelter-in-place order and to avoid unnecessary travel. There are no services and response times may be longer.",2020-03-27 12:17:40.0,Castle Mountains National Monument
Covid-19 Response,whmi,"Federal guidelines require masks be worn inside the Whitman Mission National Historic Site Visitor Center while the CDCs COVID-19 Community Level tool shows ""High"" in Walla Walla County. Check the tool on Fridays to see updates",2022-07-01 14:26:37.0,Whitman Mission National Historic Site
Social Trail to Shoreline Closed,timu,"The social trail to the right of the bulkhead at Kingsley Plantation will be closed with a fence starting July 7, 2022. Erosion issues there threaten both the bulkhead structure and safety. Please use the access off the path toward the dock for fishing.",2022-06-30 16:05:20.0,Timucuan Ecological & Historic Preserve
Visitor Centers Reopening,timu,The visitor centers at Fort Caroline and Kingsley Plantation have reopened at a reduced capacity. Hours are Wednesday - Sunday from 9 a.m. to 4:30 p.m. Public restrooms are open.,2021-06-11 08:12:49.0,Timucuan Ecological & Historic Preserve
Restroom Closure on 5th Street,inde,The restroom facility at 5th and Chestnut Streets is closed. Please use the restrooms in the Independence Visitor Center at 6th and Market Streets.,2022-06-27 05:23:16.0,Independence National Historical Park
Oxon Hill Cove Park and Oxon Hill Farm Operations Modified as Part of COVID 19 Response,oxhi,"Oxon Cove Park is open for visitation, including the farm area, Visitor Center and restrooms. Please maintain proper social distance from other visitors and staff. Click MORE for further details. more...",2022-06-17 10:56:33.0,Oxon Cove Park & Oxon Hill Farm
LIVE Virtual Group Tours,malu,"Park Rangers will provide live VIRTUAL tours to organized groups. Please email the Chief of the Interpretation, Marty Smith, at marty_smith@nps.gov to schedule a tour for your group.",2022-06-13 15:00:23.0,"Martin Luther King, Jr. National Historical Park"
