Park Name,parkCode,Description,Directions,Address
Saint-Gaudens National Historical Park,saga,"Augustus Saint-Gaudens, one of America's greatest sculptors lived here seasonally starting in 1885, and year-round 1900 until his death in 1907. Experience the park grounds, where several of Saint-Gaudens bronze sculptures are on view throughout the year, & trails wind through the woods. Learn more about the park.","From West Lebanon, NH, (at Exit 20 of Interstate Rt 89) take Route 12A south for about 12 miles, Saint-Gaudens Road will be on the left. Proceed up Saint-Gaudens Road .5 miles. The parking lot will be on your right. From Windsor, Vermont, For passenger vehicles, take bridge Street cross the Connecticut River via the covered bridge. Caution: the bridge is closed to RVs, trucks and busses. At the end of the covered Bridge in New Hampshire, turn left. Saint Gaudens Road will be on you right in one mile.","139 Saint Gaudens Road, , , Cornish, NH, 03745"
Salem Maritime National Historic Site,sama,"Established on March 17, 1938 as the first National Historic Site in the United States, Salem Maritime National Historic Site consists of nine acres of land and twelve historic structures along the Salem waterfront, as well as a downtown visitor center. Located in the urban setting of Salem, the park preserves and interprets over 600 years of New England's maritime history and global connections.","Salem Maritime National Historic Site is located in downtown Salem, Massachusetts and is accessible by vehicle, commuter rail, bus, ferry, and recreational boat.","Salem Armory Visitor Center, 2 New Liberty Street, , Salem, MA, 01970"
Salinas Pueblo Missions National Monument,sapu,"Tucked away in the middle of New Mexico you’ll find Salinas Pueblo Missions National Monument. Its three distinct sites offer a glimpse into a unique time in history—a time entrenched with cultural borrowing, conflict and struggles. These sites continue to stand as reminders of the Spanish and Pueblo peoples’ early encounters and prompt exploration of today’s interactions among different people.","Reach the Mountainair Headquarters by taking I-25 south from Albuquerque to Belen, then NM 47 diagonally to US 60, then east 21 miles to Mountainair. To travel the historic highway route (Turquoise Highway) from the north, take I-40 east from Albuquerque to NM 337, drive south 47 miles (76K) to junction with NM State Highway 55. Proceed right (west) on Hwy 55 about 16 miles (26 K). Turn right on Highway 60 and proceed one block to HQ. Information on the ruins & surrounding area is available here.","Salinas Pueblo Missions National Monument, 105 South Ripley Avenue, , Mountainair, NM, 87036-0517"
Salt River Bay National Historical Park and Ecological Preserve,sari,Salt River Bay National Historical Park and Ecological Preserve uniquely documents the human and natural Caribbean world from the earliest indigenous settlements in the central Caribbean to their clash with seven different colonial European powers to the present day.,"There are several air carriers to St Croix arriving at the Henry E. Rohlesen Airport. The park is five miles from Christiansted National Historic Site and can be reached by car via Rt. 75 from Christiansted, connecting to Route 80. Cars may be rented at the airport and various other island locations. Ask your lodging hosts for information about guided land tours.","Route 75 Salt River Bay, , , Christiansted, VI, 00820"
San Antonio Missions National Historical Park,saan,"Welcome to San Antonio Missions, a National Park Service site and the only UNESCO World Heritage Site in Texas. After 10,000 years, the people of South Texas were faced with drought, European diseases, and colonization. In the early 1700s, many Native people of South Texas foreswore their traditional life to become Spanish, accepting a new religion and agrarian lifestyle in hopes of survival.","Park Headquarter's is located 4 miles south of downtown San Antonio. The four mission sites lay as a chain south of downtown. Mission Concepción is 3 miles, Mission San José and the park visitor center is 6 miles south, Mission San Juan is 3 miles south of San José, and Mission Espada lays another mile beyond. Written directions and GPS addresses can be found at the link below.","Visitor Center at Mission San José, 6701 San Jose Drive, , San Antonio, TX, 78214"
San Francisco Maritime National Historical Park,safr,"Located in the Fisherman's Wharf neighborhood, San Francisco Maritime National Historical Park offers visitors the sights, sounds, smells and stories of Pacific Coast maritime history. The Park includes a magnificent fleet of historic ships, a Visitor Center, Maritime Museum, Maritime Research Center, and Aquatic Park Historic District.","The park is located within the city limits of San Francisco, in the Fisherman's Wharf neighborhood, on the shoreline of San Francisco Bay.","2905 Hyde Street, , , San Francisco, CA, 94109"
San Juan Island National Historical Park,sajh,"San Juan Island is well known for its splendid vistas, saltwater shores, quiet woodlands, orca whales and one of the last remaining native prairies in the Puget Sound/Northern Straits region. But it was also here in 1859 that the United States and Great Britain nearly went to war over possession of the island, the crisis ignited by the death of a pig.","San Juan Island is served by Washington State Ferries, several private cruise and shuttle craft and two air carriers (one of which has both land and seaplane service). The Washington State Ferries terminal is 85 miles north of Seattle and 90 miles south of Vancouver, BC in Anacortes, WA.","4668 Cattle Point Rd., , , Friday Harbor, WA, 98250"
San Juan National Historic Site,saju,San Juan National Historic Site preserves stories of great ambition and aspirations. Countries fought for control of this tiny yet strategic island for centuries. Generations of soldiers have lived and worked within the forts. Visitors today are as inspired by these stories as they are by the beauty of the architecture and the ingenuity of design and engineering of this World Heritage Site.,"From Luis Muñoz Marín International Airport - Get on Expreso Román Baldorioty de Castro/PR-26 from Av. Aeropuerto - Merge onto Expreso Román Baldorioty de Castro/PR-26 - Follow Avenida Luis Muñoz Rivera to Calle Norzagaray, Old San Juan","501 Norzagaray Street, Castillo San Cristobal, , San Juan, PR, 00901"
Sand Creek Massacre National Historic Site,sand,"On November 29th, 1864, Chiefs Black Kettle, White Antelope, Left Hand and others were encamped with around 750 Arapaho and Cheyenne people in a valley by the Big Sandy Creek. A hope for peace, brought forth by Black Kettle was in the balance. It was a tragic day where the blood of the Cheyenne and Arapaho was shed, and a painful memory for generations of Native Americans was made.","The Sand Creek Massacre is located in Kiowa County, Colorado. To visit the site, follow Colorado State Highway 96 east off Highway 287 near Eads, or west off Highway 385 at Sheridan Lake. Near Chivington, turn north onto County Road 54/Chief White Antelope Way or at Brandon, turn north onto County Road 59. Follow these roads to their intersections with County Road W. The park entrance is along CR W a mile east (right) of CR 54 or several miles west (left) of CR 59. Eight miles of dirt/sand roads lead to the","1301 Maine Street, , , Eads, CO, 81036"
Santa Fe National Historic Trail,safe,"You can almost hear the whoops and cries of ""All's set!"" as trail hands hitched their oxen to freight wagons carrying cargo between western Missouri and Santa Fe, New Mexico. Follow the Santa Fe National Historic Trail through five states and you'll find adventure and evidence of past travelers who made this remarkable trip before you!",You can visit many sites of the Santa Fe National Historic Trail over the 900-mile historic route that crosses five states.,"National Trails Office Regions 6|7|8, Santa Fe National Historic Trail, 1100 Old Santa Fe Trail, Santa Fe, NM, 87505"
Santa Monica Mountains National Recreation Area,samo,"The Santa Monica Mountains offer easy access to surprisingly wild places. Experience the famous beaches of Malibu or explore more than 500 miles of trails. The park abounds with historical and cultural sites, from old movie ranches to Native American centers. What will you and your family discover?","There are multiple trailheads around the park, so there is not one main entrance. You can begin your visit at the visitor center, located off Mulholland Highway in Calabasas. The Santa Monica Mountains are traversed by the 405 Freeway on the east side; crowned by the 101 Freeway on the north and west side; and Highway 1, the Pacific Coast Highway (PCH), on the southern ocean border.","26876 Mulholland Highway, , , Calabasas, CA, 91302"
Saratoga National Historical Park,sara,"Here, in 1777, during the American War for Independence, American troops battled and beat a British invasion force, marking the first time in world history that a British Army ever surrendered. This crucial victory secured essential foreign recognition and support, instigated world-wide wars, affirmed United States independence, and changed the face of the world.","Saratoga National Historical Park is located between U.S. Route 4 and N.Y. Route 32, about 4 miles north of the Village of Stillwater, N.Y. The park is roughly 40 miles north of Albany, N.Y. and 14 miles southeast of Saratoga Springs, N.Y. More detailed directions, and downloadable maps, are available on our website.","648 Route 32, , , Stillwater, NY, 12170"
Saugus Iron Works National Historic Site,sair,"In the 1600's, on the banks of the Saugus River, something extraordinary happened! Explore the place where European iron makers brought their special skills to a young Massachusetts colony. Saugus Iron Works is a twelve-acre National Historic Site that includes working waterwheels, forges, mills, a historic 17th century home, and a lush river basin.",The park is accessible via Interstate 95 (Walnut St.) and Route 1 (Main St. / Walnut St.). Public transportation options are available through the Massachusetts Bay Transportation Authority (MBTA).,"244 Central St, , , Saugus, MA, 01906"
Scotts Bluff National Monument,scbl,"Towering 800 feet above the North Platte River, Scotts Bluff has served as a landmark for peoples from Native Americans to emigrants on the Oregon, California and Mormon Trails to modern travelers. Rich with geological and paleontological history as well as human history, there is much to discover while exploring the 3,000 acres of Scotts Bluff National Monument.","Visitors traveling east-west on Interstate 80 can exit at Kimball, Nebraska and drive 45 miles north on Nebraska Highway 71. Follow National Park Service signs three miles west of Gering, Nebraska to Old Oregon Trail Road. Turn west onto Old Oregon Trail Road and follow it approximately 2 miles to the monument visitor center on the right. Visitors travelling along the North Platte River using US Highway 26 or Nebraska Highway 92, should follow the National Park Service signs.","190276 Old Oregon Trail, , , Gering, NE, 69341"
Selma To Montgomery National Historic Trail,semo,"Established by Congress in 1996, the Selma to Montgomery National Historic Trail commemorates the people, events, and route of the 1965 Voting Rights March in Alabama. Led by Dr. Martin Luther King Jr., Black and White non-violent supporters fought for the right to vote in Central Alabama. Today, you can connect with this history and trace the events of these marches along the 54-mile trail.","March Route - The National Historic Trail follows the actual march route which began at Brown Chapel, A.M.E. Church in Selma, AL, located on Martin Luther King, Jr. Street. Follow the Trail markers to U.S. Hwy. 80 through Lowndes County, AL. Continue on U.S. Hwy. 80 to Montgomery concluding at the Alabama State Capitol in Montgomery, AL, located on Dexter Avenue.","7002 U.S. Highway 80 West, , , White Hall, AL, 36040"
Sequoia & Kings Canyon National Parks,seki,"Huge mountains, rugged foothills, deep canyons, vast caverns, and the world’s largest trees exemplify the diversity of landscapes, life, and beauty here. Explore these pages to learn about the plants and animals here and the threats they face. Our ancient giant sequoias may seem invincible, but they, too are vulnerable.","Two highways enter the parks. Hwy 180 from Fresno leads east to Kings Canyon National Park, then continues 30 miles east to Cedar Grove. Hwy 198 from Visalia leads east to Sequoia National Park via Three Rivers. Inside the parks, Highway 198 becomes the Generals Highway, which connects 198 to 180. Vehicles over 22-feet long should enter the parks via Highway 180. In winter, the Generals Highway between the parks often closes. Chains may be required on park roads. No roads cross these parks east to west.","47050 Generals Highway, , , Three Rivers, CA, 93271"
Shenandoah National Park,shen,"Just 75 miles from the bustle of Washington, D.C., Shenandoah National Park is a land bursting with cascading waterfalls, spectacular vistas, fields of wildflowers, and quiet wooded hollows. With over 200,000 acres of protected lands that are haven to deer, songbirds, and black bear, there's so much to explore...and your journey begins right here!","Shenandoah National Park is located in the Blue Ridge Mountains of Virginia, west of Washington, D.C. It stretches 105 miles and has four entrances: Front Royal (northern entrance), Thornton Gap, Swift Run Gap, and Rockfish Gap (southern entrance to Shenandoah and the northern entrance to the Blue Ridge Parkway). The physical address listed is to the administrative offices, not the Park itself. GPS can be unreliable for navigating to the Park, so we encourage you to check out our website for more info.","Shenandoah National Park, 3655 U.S. Highway 211 East, , Luray, VA, 22835"
Shiloh National Military Park,shil,"Visit the sites of the most epic struggle in the Western Theater of the Civil War. Nearly 110,000 American troops clashed in a bloody contest that resulted in 23,746 casualties; more casualties than in all of America's previous wars combined. Explore both the Shiloh and Corinth battlefields to discover the impact of this struggle on the soldiers and on the nation.","The park is 110 miles from the Memphis airport and 150 miles from the Nashville airport. From the west (Memphis, Tennessee, area): Take Highway 72 East to Corinth, Mississippi. From the Corinth Civil War Interpretive Center, take Highway 22 North to the Shiloh Battlefield. From the northeast (Nashville, Tennessee, area): Take Interstate 40 West to the Parker's Crossroads Exit. Then take Highway 22 South to Shiloh Battlefield. Continue on Highway 22 South to the Corinth Civil War Interpretive Center.","1055 Pittsburg Landing Road, , , Shiloh, TN, 38376"
Sitka National Historical Park,sitk,"On an island amid towering spruce and hemlock, Sitka National Historical Park preserves the site of a battle between invading Russian traders and indigenous Kiks.ádi Tlingit. Totem poles from Tlingit and Haida areas line the park’s scenic coastal trail, and the restored Russian Bishop’s House is a rare reminder of Russia’s colonial legacy in North America.","Sitka National Historical Park is located in downtown Sitka, Alaska. Sitka is situated on Baranof Island, on the outer coast of Alaska's Inside Passage. No roads connect the city to the mainland; Sitka can be reached only by air or sea. Visitors can travel to Sitka by scheduled and charter air services, ferry, and cruise ships.","106 Metlakatla Street, , , Sitka, AK, 99835"
Sleeping Bear Dunes National Lakeshore,slbe,"Miles of sand beach, bluffs that tower 450’ above Lake Michigan, lush forests, clear inland lakes, unique flora and fauna make up the natural world of Sleeping Bear Dunes. High dunes afford spectacular views across the lake. An island lighthouse, US Life-Saving Service stations, coastal villages, and picturesque farmsteads reflect the park’s rich maritime, agricultural, and recreational history.","From the south (Detroit or Chicago areas) :Take US-31, US-131, US-27 to M-115 & M-37, I-75 and M-72 North to Traverse City, then west on M-72 to the Village of Empire. You will see the visitor center as you enter Empire on your right. You may also get to Empire from the south via US-31 to Ludington and then north to Manistee. You can follow either US-31 or M-22 from north of Manistee. From the north (Michigan's Upper Peninsula), take I-75 to Grayling and follow M-72 to Traverse City or take US-31 south","9922 Front Street, , , Empire, MI, 49630"
Springfield Armory National Historic Site,spar,"For nearly two centuries, the U.S. Armed Forces and American industry looked to Springfield Armory for innovative engineering and superior firearms. Springfield Armory National Historic Site commemorates the critical role of the nation’s first armory by preserving and interpreting the world's largest historic US military small arms collection, along with historic archives, buildings and landscape.","The entrance to Armory Square is on Federal Street in Springfield, MA. Armory Square is shared by Springfield Armory NHS and Springfield Technical Community College (STCC). The park is located on the STCC campus. Follow the one way roadway around until you see the entrance sign for the park. If stopped by campus security let them know you are visiting the park. Parking is available in front of the Springfield Armory visitor center.","Springfield Armory National Historic Site, One Armory Square, Suite 2, Springfield, MA, 01105"
Star-Spangled Banner National Historic Trail,stsp,"For three years the young United States was embroiled in the War of 1812 and the Chesapeake Bay region felt the brunt of it, choked by shipping blockades and ravaged by enemy raids. Through sites and landscapes in Virginia, the District of Columbia, and Maryland, the Trail tells the stories of the events, people, and places that led to the birth of the U.S. national anthem.","The Trail's headquarters is at Fort McHenry National Monument and Historic Shrine. The park is three miles southeast of the Baltimore Inner Harbor and just off I-95. Follow the brown Fort McHenry directional signs along all major routes to the park. From I-95 northbound, take Exit 55 Key Highway and follow Fort McHenry signs. To visit other trail locations, download a trail map.","2400 East Fort Avenue, , , Baltimore, MD, 21230"
Statue Of Liberty National Monument,stli,"""The Statue of Liberty Enlightening the World"" was a gift of friendship from the people of France to the United States and is recognized as a universal symbol of freedom and democracy. The Statue of Liberty was dedicated on October 28, 1886. It was designated as a National Monument in 1924. Employees of the National Park Service have been caring for the colossal copper statue since 1933.","Liberty Island is located in New York Harbor, and can only be reached by boat. Ferries operated by Statue Cruises depart from Battery Park in Lower Manhattan in New York City, New York and Liberty State Park in Jersey City, New Jersey.","Liberty Island, , , New York, NY, 10004"
Ste. Geneviève National Historical Park,stge,"Established by 1750, Ste. Geneviève was the first permanent European settlement in Missouri. Early French Canadian settlers were drawn here by the rich agricultural land known as Le Grand Champ (the Big Field). After the flood of 1785, the town relocated to its present location on higher ground approximately three miles to the northwest of its original site.","From north of Ste. Genevieve (e.g. St. Louis), take I-55 South to exit 150. Follow MO-32 East for about 4 miles. Turn right on Market Street. From south of Ste. Genevieve (e.g. Cape Girardeau), take I-55 North to exit 150. Follow MO-32 East for about 4 miles. Turn right on Market Street. From southern Illinois, you can also take the Ste. Genevieve - Modoc Ferry across the Mississippi. Please visit http://stegenmodocferry.com/ for hours and rates.","Ste. Genevieve National Historical Park, 339 St. Marys Road, , Ste. Genevieve, MO, 63670"
Steamtown National Historic Site,stea,"You'd feel heat from the firebox, smell hot steam and oil; you'd hear the whistle, feel the ground vibrate, and watch as one-ton drive rods turned steel wheels. Remember the sound of ""chuff-chuff"" from the smokestack? Today, you can learn the history of steam railroad transportation, and the people who built, repaired and rode, as we work to preserve a special era in America's industrial history!","Our GPS coordinates are: N 41.410730 (latitude), W 75.671329 (longitude) using our Park entrance, Lackawanna Ave at Cliff St, 18503 General Driving Directions: Take I-81 to exit 185. Continue onto President Biden Expressway (formerly known as Central Scranton Expressway) and follow signs to Mifflin Ave. Turn left onto Mifflin Ave. Turn right onto Lackawanna Ave. Turn left onto Cliff St (Park entrance).","350 Cliff Street, , , Scranton, PA, 18503"
Stones River National Battlefield,stri,"The Battle of Stones River began on the last day of 1862 and was one of the bloodiest conflicts of the Civil War. The battle produced important military and political gains for the Union, and it changed forever the people who lived and fought here.",From Interstate 24 - Take Exit 76 and turn left (eastbound) or right (westbound) onto Medical Center Parkway. Turn left onto Thompson Lane. Turn left at the park entrance at 1563 N. Thompson Lane. Follow the tour road to the visitor center. From Interstate 40 - Take Exit 235 onto TN 840. Take Exit 55 onto US 41/TN 70 and follow the signs for Murfreesboro. Turn right onto Thompson Lane at the first traffic light. Turn right at the park entrance at 1563 N. Thompson Lane.,"1563 North Thompson Lane, , , Murfreesboro, TN, 37129"
Stonewall National Monument,ston,"Before the 1960s, almost everything about living openly as a lesbian, gay, bisexual, transgender, or queer (LGBTQ+) person was illegal. The Stonewall Uprising on June 28, 1969 is a milestone in the quest for LGBTQ+ civil rights and provided momentum for a movement.","Christopher Park is bounded by Christopher, Grove, and West Fourth Streets. By subway, take the Broadway 1 Line - 7th Avenue local to Christopher Street-Sheridan Square Station; or via the 7th Avenue bus line on the M8 or M20. From Jersey City, take the Holland Tunnel to Ericsson Pl, via exit 3, then take the Avenue of the Americas north to Christopher Street. From Brooklyn take the Manhattan Bridge to Canal Street, then take the Avenue of the Americas north to Christopher Street.","Intersection of Christopher, Grove, and Fourth Streets., , , New York, NY, 10014"
Sunset Crater Volcano National Monument,sucr,"The lava flow lies on the land like a dream, a wonderland of rock. A thousand years ago the ground was torn open and lava erupted into the sky, forever changing the landscape and the lives of the people who lived here. A thousand years later, trees and flowers grow among the rocks, and people visit the lava flow to see and remember the most recent volcanic eruption in Arizona.","From Flagstaff, travel north on US Highway 89; from Page and the east entrance of the Grand Canyon, travel south on Highway 89. Sunset Crater Volcano and Wupatki National Monuments are both on the loop road FR-545, which meets Highway 89 near mile markers 430 (Sunset Crater Volcano) and 444 (Wupatki).","6082 Sunset Crater Road, , , Flagstaff, AZ, 86004"
Tallgrass Prairie National Preserve,tapr,"Tallgrass prairie once covered 170 million acres of North America, but within a generation most of it had been transformed into farmland. Today less than 4% remains intact, mostly in the Kansas Flint Hills. Established on November 12, 1996, the preserve protects a nationally significant remnant of the once vast tallgrass prairie ecosystem. Here the tallgrass makes its last stand.","The preserve is located in northern Chase County, Kansas 2 miles north of intersection U.S. Hwy 50 and Flint Hills National Scenic Byway 177 (K-177) west of Strong City. Watch for brown attraction signs. 2 miles north of Strong City, KS on K-177 16 miles west of Emporia, KS on U.S. Hwy 50 and 2 miles north on K-177 17 miles south of Council Grove, KS on K-177 85 miles northeast of Wichita on I-35, U.S. Hwy 50, and K-177 60 miles southwest of Topeka on I-335 (Kansas Turnpike) to Em","2480B KS Hwy 177, , , Strong City, KS, 66869"
Thaddeus Kosciuszko National Memorial,thko,Visit the house where wounded Polish freedom fighter Thaddeus Kosciuszko lived and hear how this brilliant military engineer designed successful fortifications during the American Revolution. See the room where he received notable visitors such as Chief Little Turtle and Thomas Jefferson.,The Thaddeus Kosciuszko National Memorial is located at 301 Pine Street in Philadelphia. It is within walking distance of Independence Hall and the Liberty Bell Center. Parking is quite limited near the site. The site is easily accessible by public transportation. See the park's web page for directions.,"3rd and Pine Streets, , , Philadelphia, PA, 19106"
Theodore Roosevelt Birthplace National Historic Site,thrb,"This is the boyhood home of the first U.S. president to be born in New York City. Raised in a townhouse at 28 E. 20th St., Theodore Roosevelt would grow up to be our 26th President and become immortalized on Mount Rushmore. However, he started life as a sickly yet bright boy who exercised to improve his health and began a lifelong passion for the ""strenuous life.""","Theodore Roosevelt Birthplace National Historic Site is located in New York City at 28 East 20th Street, between Park Avenue South and Broadway.","28 East 20th Street, , , New York, NY, 10003"
Theodore Roosevelt Inaugural National Historic Site,thri,"As president, Theodore Roosevelt created protections for ordinary citizens, began regulation of big business, and made the US a major force in international affairs. Yet one of the most important presidencies in America's history nearly didn't happen. See the place where a brief, emotional, and improvised ceremony in Buffalo, NY brought TR into office, and forever altered the nation.","The TR Inaugural Site is located on the north edge of downtown Buffalo on Delaware Avenue, between Allen and North Streets. Free parking is available to the rear. For details, see http://www.nps.gov/thri/planyourvisit/directions.htm","Theodore Roosevelt Inaugural Site, 641 Delaware Avenue, , Buffalo, NY, 14202"
Theodore Roosevelt Island,this,"In the 1930s, landscape architects transformed Mason’s Island from neglected, overgrown farmland into Theodore Roosevelt Island, a memorial to America’s 26th president. They conceived a “real forest” designed to mimic the natural forest that once covered the island. Today miles of trails through wooded uplands and swampy bottomlands honor the legacy of a great outdoorsman and conservationist.","By Car: accessible from the northbound lanes of the George Washington Memorial Parkway, after Roosevelt Bridge, exit sign, turn right into the parking lot. Please note: park in a designated parking space, US Park Police regularly tickets drivers who park on the grass. By Metro: exit Rosslyn Metro station, walk toward Key Bridge, take short connecting trail downhill from the downstream side of the bridge, across the parkway, and into the parking lot for the island. By Bike: Mount Vernon Trail north end","George Washington Memorial Parkway, northbound lanes between Roosevelt Bridge and Key Bridge, , Arlington, VA, 22209"
Theodore Roosevelt National Park,thro,"When Theodore Roosevelt came to Dakota Territory to hunt bison in 1883, he was a skinny, young, spectacled dude from New York. He could not have imagined how his adventure in this remote and unfamiliar place would forever alter the course of the nation. The rugged landscape and strenuous life that TR experienced here would help shape a conservation policy that we still benefit from today.","Theodore Roosevelt National Park is located in the Badlands of western North Dakota. There are three units to the park. The South Unit entrance is in the town of Medora, ND off of Interstate 94 exits 24 and 27. The North Unit entrance is on Highway 85 approximately 14 miles south of Watford City, ND. The remote Elkhorn Ranch Unit sits roughly in the middle of the North and South Units and is accessed via gravel roads. Consult park staff for directions to the Elkhorn Ranch Unit.","315 Second Avenue, , , Medora, ND, 58645"
Thomas Cole National Historic Site,thco,"In 1825, America was still a new nation, just forming its own unique identity and traditions. Thomas Cole invented a new style of art, one that Americans could call their own. His landscape paintings launched the art movement known as the Hudson River School. His groundbreaking achievements took place here in Catskill, New York -- in the ""peaceful shades"" of his beloved home, Cedar Grove.","The Thomas Cole National Historic Site is located at 218 Spring Street, near the western entrance to the Rip Van Winkle Bridge, in the village of Catskill, New York, at the foot of the Catskill Mountains in the Hudson Valley.","218 Spring Street, , , Catskill, NY, 12414"
Thomas Edison National Historical Park,edis,"Thomas Edison’s home and laboratory are a step back in time, when machines were run by belts and pulleys and music was played on phonographs. Where to the uninformed passerby, the buildings betray little evidence of the industries they once started. Discover where America’s greatest inventor changed our world forever.",From the Garden State Parkway take exit 145 or from the New Jersey Turnpike take Exit 15W to Route 280 West. Take Route 280 West to Exit 10. Turn right onto Northfield Avenue. At second light turn left onto Main Street. Go about 0.75 mile to parking on left and Laboratory Complex on the right. From Route 280 East take exit 9. Turn left onto Mt. Pleasant Avenue. At second traffic light turn left onto Main Street. Go about 0.50 mile to parking on left and Laboratory Complex on the right.,"211 Main Street, , , West Orange, NJ, 07052"
Thomas Jefferson Memorial,thje,"Author of the Declaration of Independence, statesman and visionary for the founding of a nation.","GPS Coordinates: 38.881387, -77.036508 Thomas Jefferson Memorial is part of the National Mall and Memorial Parks. The site lies at the southern end of the National Mall, adjacent to the Tidal Basin in West Potomac Park. The memorial rests within the sightline to and from the White House, which stands one mile to the north.","16 East Basin Drive, SW, , , Washington, DC, 200024"
Thomas Stone National Historic Site,thst,"Choosing revolution, as Thomas Stone and many others eventually did, was not an easy or inevitable decision for most American colonists. The outcome of a war with England was far from certain and regardless of who won, the lives of the colonists would never be the same. With safety, security, family and fortune at stake, courage and personal sacrifice were tested no matter what side was chosen.","Thomas Stone NHS is located on Rose Hill Road, between U.S. Highways 225 and 6, four miles west of LaPlata, MD.","6655 Rose Hill Road, , , Port Tobacco, MD, 20677"
Timpanogos Cave National Monument,tica,Cave tours are closed for the 2022 winter season. Hike your way past stunning vistas to explore a hidden underground world. Taste the thrill of caving as you twist and bend to enter beautifully decorated rooms. Learn the science behind formations and hear stories of cave exploration and preservation. Experience and discover as you go – geologic mysteries await.,"From I-15: Take Exit 284 (Alpine-Highland exit), turn east on State Highway 92 and proceed ten miles (16km) to the monument. UT 40 or U.S. 189: Travel UT 189 through Provo Canyon, west on Orem 800 North (UT 52). After 2.4 miles turn right on State Street UT- 89. After 3.8 miles, turn onto Pleasant Grove 100 East (UT 146). Stay on this road for almost five miles, as it turns in Canyon Road and takes you to the mouth of American Fork Canyon. Turn right up American Fork Canyon to visitor center.","2038 W. Alpine Loop Road, , , American Fork, UT, 84003"
Timucuan Ecological & Historic Preserve,timu,"Visit one of the last unspoiled coastal wetlands on the Atlantic Coast. Discover 6,000 years of human history and experience the beauty of salt marshes, coastal dunes, and hardwood hammocks. The Timucuan Preserve includes Fort Caroline and Kingsley Plantation.","The beautiful expanse of the Timucuan Preserve is located within the city limits of Jacksonville, Florida. The Preserve can be accessed from major roads and highways in and around Jacksonville. Directions to individual park sites such as Kingsley Plantation, American Beach and the Ribault Column can be found on our website. Our main visitor center is located at Fort Caroline, about 14 miles northeast of downtown.","12713 Fort Caroline Road, , , Jacksonville, FL, 32225"
Tonto National Monument,tont,"The Salado Phenomena, 700 years ago, blended ideas of neighboring Native American cultures to emerge a unique and vibrant society. Tonto National Monument showcases two Salado-style cliff dwellings. Colorful pottery, woven cotton cloth, and other artifacts tell a story of people living and using resources from the northern Sonoran Desert from 1250 to 1450 CE.","The cliff dwellings at Tonto National Monument are roughly two hours from the Phoenix metro area, located in the Tonto Basin. The Monument is off AZ Highway 188 near Roosevelt Lake. The nearest major towns are Globe (30 miles) and Payson (50 miles). See our Directions page for recommendations on the best way to drive here from the larger metro areas of Arizona.","26260 N AZ Hwy 188 Lot 2, , , Roosevelt, AZ, 85545"
Touro Synagogue National Historic Site,tosy,"Touro Synagogue, a building of exquisite beauty and design, steeped in history and ideals, and one of the most historically significant Jewish buildings in America, was designated a National Historic Site in 1946. Dedicated in 1763, it still serves an active congregation and each year greets over 30,000 visitors who come to see the magnificent interior and hear its remarkable story.",For direction information please visit: http://www.tourosynagogue.org/visit/directions,"85 Touro Street, , , Newport, RI, 02840"
Trail Of Tears National Historic Trail,trte,"Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839.","You can visit many of the sites along the Trail of Tears National Historic Trail over the 2,200+ mile route that crosses 9 states.","National Trails Office Regions 6|7|8, Trail of Tears National Historic Trail, 1100 Old Santa Fe Trail, Santa Fe, NM, 87505"
Tule Lake National Monument,tule,"The Tule Lake National Monument includes both the the Tule Lake Segregation Center, the largest and most controversial of the sites where Japanese Americans were incarcerated during World War II, and Camp Tulelake, which was first a Civilian Conservation Corps camp, then an additional facility to detain Japanese Americans, and finally a prisoner of war camp.","The visitor center is located 8 miles south of Tulelake CA along Hwy 139 at 44340 Hwy 139. Tulelake, CA 96134. We are the only driveway off the hwy between County Rd 113 & 176. We are currently working on getting our address updated on Google, but as of now Google will put you about and 1/8 mile north of our location. Click the link below for more detailed information on directions.","44340 Hwy 139, , , Tuelake, CA, 96134"
Tule Springs Fossil Beds National Monument,tusk,"Over the last ~570,000 years, water has transformed the Upper Las Vegas Valley. Tule Springs Fossil Beds National Monument is an urban park that preserves the unique story of this ever-changing ecosystem.","Tule Springs Fossil Beds is an urban National Monument located in the northern Las Vegas Valley, Nevada. Two parking areas are available: N. Aliante Parkway & Moonlight Falls Avenue Parking Area and Durango Drive & Moccasin Road Parking Area.","Tule Springs Fossil Beds National Monument, Durango & Moccasin Parking Area, Durango Drive & Moccasin Road, Las Vegas, NV, 89143"
Tumacácori National Historical Park,tuma,"Tumacácori sits at a cultural crossroads in the Santa Cruz River valley. Here O’odham, Yaqui, and Apache people met and mingled with European Jesuit and Franciscan missionaries, settlers, and soldiers, sometimes in conflict and sometimes in cooperation. Follow the timeworn paths and discover stories that connect us to enduring relationships, vibrant cultures, and traditions of long ago.","Tumacácori National Historical Park is located off of Exit 29 of Interstate 19, forty-five miles (80 kilometers) south of Tucson, Arizona, and eighteen miles (26 kilometers) north of Nogales, Arizona.","1895 E Frontage Road, , , Tumacacori, AZ, 85640"
